Name,Symbol,Contract Address,Decimal
Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
BNB,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,18
USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
stETH,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18
TRON,TRX,0x50327c6c5a14dcade707abad2e27eb517df87ab5,6
Matic Token,MATIC,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18
SHIBA INU,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,18
Theta Token,THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645,18
Wrapped TON Coin,TONCOIN,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,9
Wrapped BTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
Dai Stablecoin,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
Bitfinex LEO Token,LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,18
ChainLink Token,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
Binance USD,BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18
TrueUSD,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376,18
OKB,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,18
Lido DAO Token,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18
Quant,QNT,0x4a220e6096b25eadb88358cb44068a3248254675,18
Mantle,MNT,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,18
Cronos Coin,CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8
Arbitrum,ARB,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,18
VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1,18
NEAR,NEAR,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,24
Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18
Rocket Pool ETH,rETH,0xae78736cd615f374d3085123a210448e74fc6393,18
Graph Token,GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18
Staked Aave,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,18
Frax,FRAX,0x853d955acef822db058eb8505911ed77f175b99e,18
Synthetix Network Token,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
SAND,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,18
HEX,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8
Decentralized USD,USDD,0x0C10bF8FcB7Bf5412187A595ab97a3609160b5c6,18
Immutable X,IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,18
ApeCoin,APE,0x4d224452801aced8b2f0aebe155379bb5d594381,18
Decentraland,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18
Wrapped Decentraland MANA,wMANA,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,18
Fantom Token,FTM,0x4e15361fd6b4bb609fa63c81a2be19d873717870,18
Injective Token,INJ,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,18
Render Token,RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18
Rocket Pool,RPL,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,18
KuCoin Token,KCS,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,6
Pax Dollar,USDP,0x8e870d67f660d95d5be530380d0ec0bd388289e1,18
Rollbit Coin,RLB,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,18
Compound Ether,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8
chiliZ,CHZ,0x3506424f91fd33084466f402d5d97f05f8e3b4af,18
Frax Share,FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18
Pepe,PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,18
Paxos Gold,PAXG,0x45804880De22913dAFE09f4980848ECE6EcbAf78,18
Tether Gold,XAUt,0x68749665ff8d2d112fa859aa293f07a622782f38,6
Frax Ether,frxETH,0x5e8422345238f34275888049021821e8e08caa1f,18
BitTorrent,BTT,0xc669928185dbce49d2230cc9b0979be6dc797957,18
HuobiToken,HT,0x6f259637dcd74c767781e37bc6133cd6a68aa161,18
Gemini dollar,GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2
Nexo,NEXO,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,18
dYdX,DYDX,0x92d6c1e31e14520e676a687f0a93788b716beff5,18
NXM,NXM,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,18
Compound,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,18
APENFT,NFT,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,6
Staked Frax Ether,sfrxETH,0xac3e018457b222d93114458476f3e3416abbe38f,18
Compound USD Coin,cUSDC,0x39aa39c021dfbae8fac545936693ac917d5e7563,8
PancakeSwap Token,Cake,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,18
Wootrade Network,WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18
Zilliqa,ZIL,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,12
Illuvium,ILV,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,18
BAT,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18
1INCH Token,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18
Gnosis,GNO,0x6810e776880c02933d47db1b9fc05908e5386b96,18
MX Token,MX,0x11eef04c884e24d9b7b4760e7476d06ddf797f36,18
EnjinCoin,ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18
Huobi BTC,HBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,18
LoopringCoin V2,LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,18
MCO,MCO,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,8
Mask Network,MASK,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,18
Convex Token,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,18
WQtum,WQTUM,0x3103df8f05c4d8af16fd22ae63e406b97fec6938,18
SingularityNET Token,AGIX,0x5b7533812759b45c2b44c19e320ba2cd2681b542,8
Celo native asset (Wormhole),CELO,0x3294395e62f4eb6af3f1fcf89f5602d90fb3ef69,18
Wrapped Celo,wCELO,0xe452e6ea2ddeb012e20db73bf5d3863a3ac8d77a,18
Euro Tether,EURT,0xC581b735A1688071A1746c968e0798D642EDE491,6
Ethereum Name Service,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,18
FLOKI,FLOKI,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,9
Blur,BLUR,0x5283d291dbcf85356a21ba090e6db59121208b44,18
HoloToken,HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,18
Fetch,FET,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,18
Livepeer Token,LPT,0x58b6a8a3302369daec383334672404ee733ab239,18
Compound Dai,cDAI,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,8
GreenMetaverseToken,GMT,0xe3c408BD53c31C085a1746AF401A4042954ff740,8
Worldcoin,WLD,0x163f8c2467924be0ae7b5347228cabf260318753,18
DeFiChain Token,DFI,0x8fc8f8269ebca376d046ce292dc7eac40c8d358a,8
Olympus,OHM,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,9
yearn.finance,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,18
Unibot,UNIBOT,0xf819d9cb1c2a819fd991781a822de3ca8607c3c9,18
Compound USDT,cUSDT,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,8
Ribbon,RBN,0x6123b0049f904d730db3c36a31167d9d4121fa6b,18
Golem Network Token,GLM,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,18
Aragon Network Token,ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e,18
Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3d,18
SafePalToken,SFP,0x12e2b8033420270db2f3b328e32370cb5b2ca134,18
Swipe,SXP,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,18
IoTeX Network,IOTX,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,18
Merit Circle,MC,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,18
StakeWise Staked ETH2,sETH2,0xFe2e637202056d30016725477c5da089Ab0A043A,18
WAX Token,WAX,0x39bb259f66e1c59d5abef88375979b4d20d98022,8
IOSToken,IOST,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab,18
Tribe,TRIBE,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18
HarmonyOne,ONE,0x799a4202c12ca952cb311598a024c80ed371a41e,18
BandToken,BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18
SwissBorg,CHSB,0xba9d4199fab4f26efe3551d490e3821486f135ba,8
Ocean Token,OCEAN,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,18
ELF,ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18
Axelar,AXL,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,6
STASIS EURS Token,EURS,0xdb25f211ab05b1c97d595516f45794528a807ad8,2
BORA,BORA,0x26fb86579e371c7aedc461b2ddef0a8628c93d3b,18
SushiToken,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18
Amp,AMP,0xff20817765cb7f73d4bde2e66e067e58d11095c2,18
Bitkub Token,KUB,0x0649cef6d11ed6f88535462e147304d3fe5ae14d,18
StargateToken,STG,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,18
SSV Token,SSV,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,18
Kyber Network Crystal v2,KNC,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,18
Polymath,POLY,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,18
SKALE,SKL,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,18
CoinDash Token,CDT,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,18
DAO Maker,DAO,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,18
UMA Voting Token v1,UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,18
PlayDapp Token,PLA,0x3a4f40631a4f906c2BaD353Ed06De7A5D3fCb430,18
Cartesi Token,CTSI,0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D,18
CoinEx Token,CET,0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f,18
Reserve Rights,RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70,18
Qtcon,QTCON,0x1bf7fd22709733ccd7c45ab27dd02c7ec8e50078,18
Synapse,SYN,0x0f2d719407fdbeff09d87557abb7232601fd9f29,18
API3,API3,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,18
Hxro,HXRO,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,18
Pundi X Token,PUNDIX,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,18
StatusNetwork,SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e,18
Trace,TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18
PlatonCoin,PLTC,0x429D83Bb0DCB8cdd5311e34680ADC8B12070a07f,18
QANX Token,QANX,0xaaa9214f675316182eaa21c85f0ca99160cc3aaa,18
Function X,FX,0x8c15ef5b4b21951d50e53e4fbda8298ffad25057,18
VVS,VVS,0x839e71613f9aa06e5701cf6de63e303616b0dde3,18
PYR Token,PYR,0x430EF9263E76DAE63c84292C3409D61c598E9682,18
Coin98,C98,0xae12c5930881c53715b369cec7606b70d8eb229f,18
inSure,SURE,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,18
dKargo,DKA,0x5dc60C4D5e75D22588FA17fFEB90A63E535efCE0,18
RLC,RLC,0x607F4C5BB672230e8672085532f7e901544a7375,9
STPT,STPT,0xde7d85157d9714eadf595045cc12ca4a5f3e2adb,18
LQTY,LQTY,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,18
Dexe,DEXE,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,18
Telcoin,TEL,0x467Bccd9d29f223BcE8043b84E8C8B282827790F,2
Origin Ether,OETH,0x856c4Efb76C1D1AE02e20CEB03A2A6a08b0b8dC3,18
Hermez Network Token,HEZ,0xEEF9f339514298C6A857EfCfC1A762aF84438dEE,18
Alchemy,ACH,0xed04915c23f00a313a544955524eb7dbd823143d,8
Numeraire,NMR,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18
Metal,MTL,0xF433089366899D83a9f26A773D59ec7eCF30355e,8
Dogelon,ELON,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,18
Everipedia IQ,IQ,0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,18
AlphaToken,ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,18
Orbs,ORBS,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,18
Wrapped NXM,wNXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde,18
Mass Vehicle Ledger Token,MVL,0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,18
OMG Network,OMG,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18
Token Prometeus Network,PROM,0xfc82bb4ba86045af6f327323a46e80412b91b27d,18
Linear Token,LINA,0x3E9BC21C9b189C09dF3eF1B824798658d5011937,18
CelerToken,CELR,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,18
ShareToken,SHR,0xd98f75b1a3261dab9eed4956c93f33749027a964,2
Wilder,WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,18
Ankr Staked ETH,ankrETH,0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,18
Prime,PRIME,0xb23d80f5fefcddaa212212f028021b41ded428cf,18
DENT,DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258,8
Energy Web Token Bridged,EWTB,0x178c820f862b14f316509ec36b13123da19a6054,18
Marlin POND,POND,0x57b946008913b82e4df85f501cbaed910e58d26c,18
ALICE,ALICE,0xac51066d7bec65dc4589368da368b212745d63e8,6
Bancor,BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18
DODO bird,DODO,0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,18
Smooth Love Potion,SLP,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0
NKN,NKN,0x5cf04716ba20127f1e2297addcf4b5035000c9eb,18
HUNT Token,HUNT,0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5,18
Reef.finance,REEF,0xfe3e6a25e6b192a42a44ecddcd13796471735acf,18
SPACE ID,ID,0x2dfF88A56767223A5529eA5960Da7A3F5f766406,18
StormX,STMX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,18
Gitcoin,GTC,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,18
XIDO FINANCE,XIDO,0xf6650117017ffd48b725b4ec5a00b414097108a7,18
PowerLedger,POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269,6
Metis Token,Metis,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,18
Hashflow,HFT,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,18
Chroma,CHR,0x8A2279d4A90B6fe1C4B30fa660cC9f926797bAA2,6
Celsius,CEL,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,4
Artificial Liquid Intelligence Token,ALI,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181,18
ARPA Token,ARPA,0xba50933c268f567bdc86e1ac131be072c6b0b71a,18
Pendle,PENDLE,0x808507121b80c02388fad14726482e061b8da827,18
Bifrost,BFC,0x0c7D5ae016f806603CB1782bEa29AC69471CAb9c,18
QuarkChain Token,QKC,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,18
Gelato Network Token,GEL,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,18
KEEP Token,KEEP,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,18
Request,REQ,0x8f8221afbb33998d8584a2b05749ba73c37a938a,18
ConstitutionDAO,PEOPLE,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,18
Beta Token,BETA,0xbe1a001fe942f96eea22ba08783140b9dcc09d28,18
COTI Token,COTI,0xddb3422497e61e13543bea06989c0789117555c5,18
SportX,SX,0x99fe3b1391503a1bc1788051347a1324bff41452,18
Covalent Query Token,CQT,0xd417144312dbf50465b1c641d016962017ef6240,18
Euro Coin,EUROC,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,6
Phala,PHA,0x6c5bA91642F10282b576d91922Ae6448C9d52f4E,18
GoMining Token,GMT,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,18
Dusk Network,DUSK,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,18
DEXTools,DEXT,0xfb7b4564402e5500db5bb6d63ae671302777c75a,18
Spell Token,SPELL,0x090185f2135308bad17527004364ebcc2d37e5f6,18
Magic Internet Money,MIM,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,18
BAZAARS,BZR,0x8d96b4ab6c741a4c8679ae323a100d74f085ba8f,18
FunFair,FUN,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,8
XY Oracle,XYO,0x55296f69f40ea6d20e478533c15a6b08b654e758,18
NEST,NEST,0x04abeda201850ac0124161f037efd70c74ddc74c,18
XSGD,XSGD,0x70e8de73ce538da2beed35d14187f6959a8eca96,6
VERA,VRA,0xf411903cbc70a74d22900a5de66a2dda66507255,18
Ultra Token,UOS,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,4
Bytom,BTM,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,8
MOONs on Ethereum,MOON,0xe1ca72ff3434b131765c62cbcbc26060f7aba03d,18
Gluwa Creditcoin Vesting Token,G-CRE,0xa3ee21c306a700e682abcdfe9baa6a08f3820419,18
Refereum,RFR,0xd0929d411954c47438dc1d871dd6081f5c5e149c,4
Rally,RLY,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b,18
Boba Token,BOBA,0x42bbfa2e77757c645eeaad1655e0911a7553efbc,18
THORSwap Token,THOR,0xa5f2211b9b8170f694421f2046281775e8468044,18
AllianceBlock Nexera Token,NXRA,0x644192291cc835a93d6330b24ea5f5fedd0eef9e,18
OriginToken,OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,18
Aergo,AERGO,0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6,18
Dawn,DAWN,0x580c8520deda0a441522aeae0f9f7a5f29629afa,18
Celo Dollar (Wormhole),cUSD,0xC22956c3CFeC3Ee9A9925abeE044F05Bc47f6632,18
Wrapped Celo USD,wCUSD,0xad3e3fc59dff318beceaab7d00eb4f68b1ecf195,18
E-RADIX,eXRD,0x6468e79A80C0eaB0F9A2B574c8d5bC374Af59414,18
Alien Worlds Trilium,TLM,0x888888848b652b3e3a0f34c96e00eec0f3a23f72,4
Gods Unchained,GODS,0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,18
Morpheus.Network,MNW,0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4,18
SuperRare,RARE,0xba5bde662c17e2adff1075610382b9b691296350,18
[FCT] FirmaChain Token,FCT,0xe1bad922f84b198a08292fb600319300ae32471b,18
Kin,KIN,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,18
Aura,AURA,0xC0c293ce456fF0ED870ADd98a0828Dd4d2903DBF,18
Synth sUSD,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18
CEEK,CEEK,0xb056c38f6b7dc4064367403e26424cd2c60655e1,18
Adventure Gold,AGLD,0x32353A6C91143bfd6C7d363B546e62a9A2489A20,18
VitaDAO Token,VITA,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321,18
Bluzelle,BLZ,0x5732046a883704404f284ce41ffadd5b007fd668,18
Aurora DAO,AURA,0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814,18
IDEX Token,IDEX,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,18
Storj,STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,8
TrueFi,TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,8
CarryToken,CRE,0x115ec79f1de567ec68b7ae7eda501b406626478e,18
Radio Caca V2,RACA,0x12bb890508c125661e03b09ec06e404bc9289040,18
Bean,BEAN,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6
LCX,LCX,0x037a54aab062628c9bbae1fdb1583c195585fe41,18
Orchid,OXT,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,18
Fei USD,FEI,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,18
Uquid Coin,UQC,0x8806926Ab68EB5a7b909DcAf6FdBe5d93271D6e2,18
Singularity Dao,SDAO,0x993864e43caa7f7f12953ad6feb1d1ca635b875f,18
ZEON,ZEON,0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532,18
Victoria VR,VR,0x7d5121505149065b562c789a0145ed750e6e8cdd,18
Premia,PREMIA,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,18
DeGate Token,DG,0x53c8395465a84955c95159814461466053dedede,18
BOX Token,BOX,0xe1A178B681BD05964d3e3Ed33AE731577d9d96dD,18
Moss Coin,MOC,0x865ec58b06bf6305b886793aa20a2da31d034e68,18
TokenPocket Token,TPT,0x4161725d019690a3e0de50f6be67b07a86a9fae1,4
Efinity Token,EFI,0x656c00e1bcd96f256f224ad9112ff426ef053733,18
Automata,ATA,0xa2120b9e674d3fc3875f415a7df52e382f141225,18
Frax Price Index Share,FPIS,0xc2544a32872a91f4a553b404c6950e89de901fdb,18
SAITAMA,SAITAMA,0xCE3f08e664693ca792caCE4af1364D5e220827B2,9
SelfKey,KEY,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,18
Oraichain Token,ORAI,0x4c11249814f11b9346808179cf06e71ac328c1b5,18
Tellor Tributes,TRB,0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,18
@EthernityChain $ERN Token,ERN,0xbbc2ae13b23d715c30720f079fcd9b4a74093505,18
Bounce Token,Auction,0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096,18
Meld,MELD,0x333000333b26eE30214B4af6419D9ab07a450400,18
Guild of Guardians,GOG,0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,18
Litentry,LIT,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,18
Pluton,PLU,0xD8912C10681D8B21Fd3742244f44658dBA12264E,18
Cortex Coin,CTXC,0xea11755ae41d889ceec39a63e6ff75a02bc1c00d,18
MCDEX Token,MCB,0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,18
AscendEX token,ASD,0xff742d05420b6aca4481f635ad8341f81a6300c2,18
BitMax token,BTMX,0xcca0c9c383076649604eE31b20248BC04FdF61cA,18
Route,ROUTE,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,18
Bolide,BLID,0x8A7aDc1B690E81c758F1BD0F72DFe27Ae6eC56A5,18
CargoX,CXO,0xb6ee9668771a79be7967ee29a63d4184f8097143,18
Adshares,ADS,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a,11
Synth sETH,sETH,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,18
Forta,FORT,0x41545f8b9472D758bB669ed8EaEEEcD7a9C4Ec29,18
Compound Basic Attention Token,cBAT,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,8
LooksRare Token,LOOKS,0xf4d2888d29d722226fafa5d9b24f9164c092421e,18
Terra Virtua Kolect,TVK,0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,18
Mai Stablecoin,MAI,0x8D6CeBD76f18E1558D4DB88138e2DeFB3909fAD6,18
DIAToken,DIA,0x84cA8bc7997272c7CfB4D0Cd3D55cd942B3c9419,18
Ampleforth Governance,FORTH,0x77fba179c79de5b7653f68b5039af940ada60ce0,18
BarnBridge Governance Token,BOND,0x0391D2021f89DC339F60Fff84546EA23E337750f,18
0xBitcoin Token,0xBTC,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,8
beefy.finance,BIFI,0x5870700f1272a1adbb87c3140bd770880a95e55d,18
Measurable Data Token,MDT,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,18
Melon Token,MLN,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,18
League of Kingdoms Arena,LOKA,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,18
Coinweb,CWEB,0x505b5eda5e25a67e1c24a2bf1a527ed9eb88bf04,18
Alpha Quark Token,AQT,0x2a9bDCFF37aB68B95A53435ADFd8892e86084F93,18
Keep3rV1,KP3R,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,18
Lever,LEVER,0x4b5f49487ea7b3609b1ad05459be420548789f1f,18
Sai Stablecoin v1.0,SAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,18
StakeWise,SWISE,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,18
QuickSwap,QUICK,0xd2ba23de8a19316a638dc1e7a9adda1d74233368,18
CUBE,AUTO,0x622dFfCc4e83C64ba959530A5a5580687a57581b,18
Alchemix,ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,18
Dione,Dione,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,9
Onyxcoin,XCN,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,18
Aurora,AURORA,0xaaaaaa20d9e0e2461697782ef11675f668207961,18
Amber,AMB,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,18
Gho Token,GHO,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,18
