network,symbol,contract_address,method_ID,method
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x06fdde03,name()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0753c30c,deprecate(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x095ea7b3,"approve(address,uint256)"
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0e136b19,deprecated()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0ecb93c0,addBlackList(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x18160ddd,totalSupply()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x26976e3f,upgradedAddress()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x27e235e3,balances(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x313ce567,decimals()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x35390714,maximumFee()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x3eaaf86b,_totalSupply()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x3f4ba83a,unpause()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x59bf1abe,getBlackListStatus(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x5c658165,"allowed(address,address)"
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x5c975abb,paused()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x70a08231,balanceOf(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x8456cb59,pause()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x893d20e8,getOwner()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x8da5cb5b,owner()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x95d89b41,symbol()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xa9059cbb,"transfer(address,uint256)"
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xc0324c77,"setParams(uint256,uint256)"
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xcc872b66,issue(uint256)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xdb006a75,redeem(uint256)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xdd62ed3e,"allowance(address,address)"
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xdd644f72,basisPointsRate()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xe47d6060,isBlackListed(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xe4997dc5,removeBlackList(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xe5b5019a,MAX_UINT()
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf2fde38b,transferOwnership(address)
ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf3bdc228,destroyBlackFunds(address)
ethereum,BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53,0x3659cfe6,upgradeTo(address)
ethereum,BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53,0x4f1ef286,"upgradeToAndCall(address,bytes)"
ethereum,BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53,0x5c60da1b,implementation()
ethereum,BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53,0x8f283970,changeAdmin(address)
ethereum,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3659cfe6,upgradeTo(address)
ethereum,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4f1ef286,"upgradeToAndCall(address,bytes)"
ethereum,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5c60da1b,implementation()
ethereum,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x8f283970,changeAdmin(address)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x06fdde03,name()
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x095ea7b3,"approve(address,uint256)"
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x18160ddd,totalSupply()
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x313ce567,decimals()
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x3bed33ce,withdrawEther(uint256)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x42966c68,burn(uint256)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x6623fc46,unfreeze(uint256)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x70a08231,balanceOf(address)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x8da5cb5b,owner()
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0x95d89b41,symbol()
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xa9059cbb,"transfer(address,uint256)"
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xcd4217c1,freezeOf(address)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xd7a78db8,freeze(uint256)
ethereum,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xdd62ed3e,"allowance(address,address)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x06fdde03,name()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x095ea7b3,"approve(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x18160ddd,totalSupply()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x30adf81f,PERMIT_TYPEHASH()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x313ce567,decimals()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x3644e515,DOMAIN_SEPARATOR()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x40c10f19,"mint(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x54fd4d50,version()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x65fae35e,rely(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x70a08231,balanceOf(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x7ecebe00,nonces(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x8fcbaf0c,"permit(address,address,uint256,uint256,bool,uint8,bytes32,bytes32)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x95d89b41,symbol()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9c52a7f1,deny(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9dc29fac,"burn(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xa9059cbb,"transfer(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xb753a98c,"push(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xbb35783b,"move(address,address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xbf353dbb,wards(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdd62ed3e,"allowance(address,address)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xf2d5d56b,"pull(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x06fdde03,name()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x095ea7b3,"approve(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x18160ddd,totalSupply()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x313ce567,decimals()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x4000aea0,"transferAndCall(address,uint256,bytes)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x66188463,"decreaseApproval(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x70a08231,balanceOf(address)
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x95d89b41,symbol()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xa9059cbb,"transfer(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xd73dd623,"increaseApproval(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xdd62ed3e,"allowance(address,address)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x06fdde03,name()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x095ea7b3,"approve(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x18160ddd,totalSupply()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x313ce567,decimals()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x39509351,"increaseAllowance(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x3f4ba83a,unpause()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x46fbf68e,isPauser(address)
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x5c975abb,paused()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x6ef8d66d,renouncePauser()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x70a08231,balanceOf(address)
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x82dc1ec4,addPauser(address)
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x8456cb59,pause()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x95d89b41,symbol()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xa9059cbb,"transfer(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xdd62ed3e,"allowance(address,address)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x06fdde03,name()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x095ea7b3,"approve(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x18160ddd,totalSupply()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x313ce567,decimals()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x39509351,"increaseAllowance(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x42966c68,burn(uint256)
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x70a08231,balanceOf(address)
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x95d89b41,symbol()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xa9059cbb,"transfer(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xdd62ed3e,"allowance(address,address)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x06fdde03,name()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x095ea7b3,"approve(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x18160ddd,totalSupply()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x313ce567,decimals()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x39509351,"increaseAllowance(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x3f4ba83a,unpause()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x46fbf68e,isPauser(address)
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x5c975abb,paused()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x6ef8d66d,renouncePauser()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x70a08231,balanceOf(address)
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x82dc1ec4,addPauser(address)
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x8456cb59,pause()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x95d89b41,symbol()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xa9059cbb,"transfer(address,uint256)"
