USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7
BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53
USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52
DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F
LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA
MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE
CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4
APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381
THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645
SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984